座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の弓,刺突,56,,0,0,,,,2,,,,100,芯石,3,,,,,,
1I,大狩弓,刺突,35,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の弓・弐,刺突,56,,0,0,,,,2,,,,100,芯石,3,,,,,,
3H,白樹の剛弓,刺突,68,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の彩弓,刺突,60,,0,0,,,,1,猛攻 +1,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の梓弓,刺突,61,,0,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の塗弓,刺突,61,水,56,5,会心強化・攻 8%,,,2,絞りの技 8%,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の大弓・弐,刺突,126,,0,0,余裕 4%,,,1,水の弱体術 2%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の剛弓・弐,刺突,68,,0,0,奮起 10%,,,1,風の弱体術 2%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の一張弓,刺突,64,風,56,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の剛弓,刺突,72,樹,16,0,追い討ち 13%,,,1,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の梓弓・弐,刺突,67,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
