座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の鉤爪,斬撃,48,,0,0,,,,2,,,,100,芯石,3,,,,,,
1I,飛鉤爪,斬撃,30,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の鉤爪・弐,斬撃,48,,0,0,,,,2,,,,100,芯石,3,,,,,,
3H,白樹の鉤爪,斬撃,61,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の鉤爪,斬撃,48,,0,0,,,,1,猛攻 +1,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の鉤爪,斬撃,53,,0,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の双牙,斬撃,53,水,48,5,会心強化・攻 8%,,,2,疾風怒涛・躰 11%,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の戦爪・弐,斬撃,108,,0,-10,余裕 4%,,,1,水の弱体術 2%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の鉤爪・弐,斬撃,58,,0,0,奮起 10%,,,1,風の弱体術 2%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の飛び爪,斬撃,53,風,48,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の彩爪,斬撃,62,樹,12,0,追い討ち 13%,,,1,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の鉤爪・弐,斬撃,57,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
4K,獄爪 石楠花,斬撃,66,火,48,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の戦爪,斬撃,97,,0,-10,早飲み 25%,,,1,爪蔓強化・攻 8%,再利用 10%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊爪 震天動地,斬撃,69,土,48,0,受身上手 13%,,,2,土の弱体術 2%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,木子の鉤爪,斬撃,143,,0,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5A,雨水の彩爪,斬撃,100,水,72,0,剛腕・糸 +6,,,3,受身上手13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の飛び爪・弐,斬撃,81,風,72,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,くさびらの彩爪,斬撃,78,樹,72,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5J,白樹の鉤爪・参,斬撃,90,,0,0,仁王立ち 25%,,,2,樹の弱体術 2%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,獄爪 石楠花・弐,斬撃,90,火,72,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の戦爪・参,斬撃,111,,0,-10,滞空姿勢 25%,,,3,火の弱体術 2%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5O,鬼薄の三日月,斬撃,82,土,72,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
6A,天狼爪,斬撃,138,水,96,5,操爪の達人,,,4,残心 +2,,,1000,羅雪の牙,2,羅雪の氷柱,4,羅雪の氷尾,2,芯石,12
6C,凍筒 真神裂き,斬撃,141,,0,25,[活人]一気呵成・会心 20%,,,4,会心強化・攻 2%,,,1000,羅雪の爪,2,羅雪の氷柱,4,巨獣の光粉,1,芯石,12
6D,鋭石の鉤爪・参,斬撃,105,,0,0,剛腕・糸 +6,,,4,,,,300,鏡石,1,芯石,10,,,,
6E,宵闇の影爪,斬撃,117,,0,10,毒使い 5%,,,3,霞落とし 4%,,,600,黒纏の嘴,2,黒纏の毒岩肺,2,芯石,8,,
6G,十六夜の機爪,斬撃,86,風,72,0,疾風怒涛・躰 13%,,,3,死中の攻勢 10%,,,600,黒纏の皮,1,黒纏の爪,2,鉱石,2,,
6H,蔦若葉の彩爪・弐,斬撃,81,樹,72,0,剛腕・心 10%,,,3,機術の体幹 10%,,,300,山穿槌の毛,3,山穿槌の草棘,5,フクロウの飛骨,2,鉱石,5
6J,落氷削り,刺突,149,,0,5,[活人皆伝]剛腕・守 25%,,,3,[活人]蘇生ノ構,,,600,城穿槌の牙,3,城穿槌の尻尾,3,芯石,10,,
6K,埋れ火の獄爪,斬撃,102,火,72,0,余裕 4%,,,3,疾風怒涛・攻 5%,,,600,浄土猿の牙,2,浄土猿の皮,2,鉱石,10,,
6M,八島の剛爪,斬撃,150,,0,-20,飛翔撃・破 15%,,,2,破壊術 15%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
6N,鋭石の鉤爪・肆,斬撃,108,,0,0,剛腕・糸 +6,,,4,,,,300,光石,1,芯石,10,,,,
6O,獄爪 蒼仙花,斬撃,102,土,72,0,奮起 10%,,,3,飛翔撃・破 12%,,,600,浄土猿の溶岩,3,浄土猿の尻尾,2,巨獣の煤炭,3,芯石,20
6Q,瑠璃抉り,斬撃,143,,0,10,[獣道]一気呵成・攻 15%,,,3,会心連鎖 8%,,,600,屍荒の爪,2,屍荒の棘毛,3,屍荒の尻尾,3,芯石,6
8B,燕爪 花鳥風月,斬撃,163,,0,5,,,,4,会心の達人 5%,,,1000,大きな鱗,5,小獣の甲皮,4,鉱石,5,,
8D,燕爪 花鳥風月・弐,斬撃,162,,0,0,,,,5,,,,1000,碧柱鉱,3,芯石,10,鉱石,6,,
8F,薫風の戦爪,斬撃,167,,0,5,,,,4,会心強化・攻 4%,,,1000,カガチの浮き胞,2,珊瑚の欠片,5,芯石,10,,
8I,燕爪 雪月花,斬撃,164,,0,5,,,,4,猛攻 +2,,,1000,天魔石,2,芯石,10,鉱石,6,,
8L,枯木の戦爪,斬撃,163,,0,5,,,,4,会心強化・攻 4%,,,1000,小獣の被膜,3,鋭利な鱗,3,芯石,10,,
8N,燕爪 花鳥風月・参,斬撃,163,,0,0,,,,5,,,,1000,黄鉄鉱,3,芯石,10,鉱石,6,,
8P,燕爪 花鳥風月・肆,斬撃,164,,0,0,,,,4,会心の達人 5%,,,1000,鋭利な鱗,3,天魔石,3,鉱石,5,,
9A,飛倉の機爪,斬撃,149,水,96,0,回避の達人 15%,[獣道皆伝]好戦・攻 10%,,4,[獣道皆伝]鷹の目 5%,,,1000,角走の溢滴石,4,角走の被膜,1,芯石,15,大きな鉱石,2
9C,黒金の戦爪・弐,斬撃,210,,0,0,軽功転戦 15%,,,4,,,,1000,砂鼓の狸袋,3,砂鼓の硬鉄塊,2,碧柱鉱,3,大きな鉱石,4
9E,夏椿の飛び爪,斬撃,151,風,96,0,空中自在 30%,納刀強化・守 10%,,4,飛翔撃・破 18%,,,1000,姫鶏冠の山冠,3,姫鶏冠の嘴,2,巨獣の花弁,4,鉱石,9
9G,幻日の影爪,斬撃,242,,0,5,毒使い 10%,爪蔓強化・攻 30%,,4,間合術・守 10%,,,2000,白纏の尖嘴,3,白纏の長尾羽,2,白纏の鋭爪,1,芯石,15
9H,紅梅の鉤爪,斬撃,178,,0,0,回避の達人 15%,,,4,土の弱体術 3%,,,1000,花宿の硬牙,3,花宿の髭,2,巨獣の花弁,3,鉱石,6
9J,蔦葛の彩爪,斬撃,151,樹,96,0,宿り木使い 10%,,,4,追い討ち 8%,,,1000,山穿槌の尖牙,2,山穿槌の莾棘,5,山穿槌の蹄,2,鉱石,7
9K,黒金の戦爪,斬撃,204,,0,-10,見切りの極意 10%,,,4,風の弱体術 3%,,,1000,砂鼓の厚牙,3,砂鼓の硬鉄塊,2,砂鼓の腹皮,2,芯石,15
9M,猩々緋の剛爪,斬撃,176,火,120,0,回復強化 20%,炎上使い 10%,,4,余裕 3%,,,2000,地獄猿の灼岩石,4,地獄猿の長尻尾,1,地獄猿の荒髭,2,鉱石の塊,5
9O,嶺颪抉り,斬撃,263,,0,10,天運 10%,,,4,樹の弱体術 3%,,,2000,屍荒の爪,4,屍荒の長尻尾,3,屍荒の棘皮,2,鉱石,10
9Q,磊爪 石拆根拆,斬撃,155,土,96,0,受身上手 25%,,,4,受け身術,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10C,飛倉の機爪・弐,斬撃,237,,0,0,剛腕・心 20%,糸好き +1,,4,韋駄天 4%,,,1000,角走の鋭角,5,角走の飛膜,1,飼い獣の輝殻,4,鉱石の塊,4
10E,夏椿の飛び爪・弐,斬撃,155,風,96,0,操爪の達人,追い射ち 25%,,4,飛翔撃・攻 5%,,,1000,姫鶏冠の山冠,3,姫鶏冠の鋭爪,3,飼い獣の実,4,鉱石,18
10G,八咫の影爪,斬撃,246,,0,5,間合術・守 20%,飛鳥の守護 15%,,4,水の弱体術 3%,,,2000,白纏の長尾羽,2,白纏の宝珠,3,巨獣の玉石,5,大きな鉱石,5
10H,琥珀の鉤爪,斬撃,221,,0,0,[獣道]闘志 10%,,,4,一気呵成・攻 18%,,,1000,琥珀主の叢髭,2,琥珀主の輝硬液,5,琥珀主の爪,2,大きな鉱石,2
10K,吾妻の剛爪,斬撃,242,,0,-20,睡眠使い 10%,掴み上手 13%,,4,機術の回収,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10Q,山荒の三日月,斬撃,117,土,96,0,軽功転戦 15%,納刀術 50%,,4,韋駄天 4%,,,2000,屍荒の鋭棘毛,3,屍荒の棘皮,2,巨獣の玉石,3,鉱石,10
