座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の槌,殴打,160,,0,0,,,,2,,,,100,芯石,3,,,,,,
1I,巨槌,殴打,100,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の槌・弐,殴打,160,,0,0,,,,2,,,,100,芯石,3,,,,,,
3H,白樹の戦槌,殴打,204,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の閃槌,殴打,170,,0,0,,,,1,猛攻 +2,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の大槌,殴打,169,,0,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の彩槌,殴打,171,水,160,5,会心強化・攻 8%,,,2,展開錬磨,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の大鉄槌・弐,殴打,360,,0,-10,余裕 4%,,,1,水の弱体術 5%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の戦槌・弐,殴打,194,,0,0,奮起 10%,,,1,風の弱体術 3%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の閃槌,殴打,179,風,160,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の戦槌,殴打,198,樹,40,0,追い討ち 13%,,,1,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の大槌・弐,殴打,190,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
4K,獄槌 石楠花,殴打,212,火,160,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の大鉄槌・弐,殴打,316,,0,-10,早飲み 25%,,,1,飛ばしの達人,再利用 10%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊槌 震天動地,殴打,216,土,160,0,受身上手 13%,,,2,土の弱体術 5%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,くさびらの槌,殴打,430,,0,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5A,雨氷の戦槌,殴打,327,水,240,0,剛腕・糸 +6,,,3,受身上手 13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の戦槌・弐,殴打,270,風,240,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,木子の彩槌,殴打,265,樹,240,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5J,白樹の戦槌・参,殴打,300,,0,0,仁王立ち 25%,,,2,樹の弱体術 5%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,獄槌 石楠花・弐,殴打,300,火,240,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の大鉄槌・参,殴打,370,,0,-10,滞空姿勢 25%,,,3,火の弱体術 5%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5Q,鬼薄の機槌,殴打,470,,0,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
6A,天狼槌,斬撃,460,水,320,5,一点集中 15%,,,4,残心 +2,,,1000,羅雪の牙,2,羅雪の氷柱,4,羅雪の氷尾,2,芯石,12
6C,凍槌 真神潰し,殴打,472,,0,25,[活人]一気呵成・会心 20%,,,4,会心強化・攻 2%,,,1000,羅雪の爪,2,羅雪の氷柱,4,巨獣の光粉,1,芯石,12
6D,鋭石の槌・参,殴打,350,,0,0,剛腕・糸 +6,,,4,,,,300,鏡石,1,芯石,10,,,,
6E,宵闇の機槌,殴打,381,,0,10,毒使い 5%,,,3,霞落とし 4%,,,600,黒纏の嘴,2,黒纏の毒岩肺,2,芯石,8,,
6G,十六夜の彩槌,殴打,277,風,240,0,飛ばしの達人,,,3,死中の攻勢 10%,,,600,黒纏の皮,1,黒纏の爪,2,鉱石,2,,
6H,蔦若葉の戦槌・弐,殴打,270,樹,120,0,剛腕・心 10%,,,3,機術の体幹 10%,,,300,山穿槌の毛,3,山穿槌の草棘,5,フクロウの飛骨,2,鉱石,5
6J,落氷砕き,刺突,499,,0,5,[活人皆伝]剛腕・守 25%,,,3,[活人]蘇生ノ構,,,600,城穿槌の牙,3,城穿槌の尻尾,3,芯石,10,,
6K,埋れ火の獄槌,殴打,340,火,240,0,余裕 4%,,,3,展開痛打 4%,,,600,浄土猿の牙,2,浄土猿の皮,2,鉱石,10,,
6M,八島の機槌,殴打,497,,0,-20,急制動 15%,,,2,破壊術 15%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
6N,鋭石の槌・肆,殴打,360,,0,0,剛腕・糸 +6,,,4,,,,300,光石,1,芯石,10,,,,
6O,獄槌 蒼仙花,殴打,328,土,240,0,奮起 10%,,,3,衝撃波 10%,,,600,浄土猿の溶岩,3,浄土猿の尻尾,2,巨獣の煤炭,3,芯石,20
6Q,瑠璃破り,斬撃,468,,0,10,[獣道]一気呵成・攻 15%,,,3,会心連鎖 8%,,,600,屍荒の爪,2,屍荒の棘毛,3,屍荒の尻尾,3,芯石,6
8B,飛槌 花鳥風月,殴打,550,,0,5,,,,4,会心の達人 5%,,,1000,大きな鱗,5,小獣の甲皮,4,鉱石,5,,
8D,飛槌 花鳥風月・弐,殴打,540,,0,0,,,,5,,,,1000,碧柱鉱,3,芯石,10,鉱石,6,,
8F,薫風の閃槌,殴打,550,,0,5,,,,4,会心強化・攻 4%,,,1000,カガチの浮き胞,2,珊瑚の欠片,5,芯石,10,,
8I,飛槌 雪月花,殴打,546,,0,5,,,,4,猛攻 +3,,,1000,天魔石,2,芯石,10,鉱石,6,,
8L,枯木の閃槌,殴打,549,,0,5,,,,4,会心強化・攻 4%,,,1000,小獣の被膜,3,鋭利な鱗,3,芯石,10,,
8N,飛槌 花鳥風月・参,殴打,544,,0,0,,,,5,,,,1000,黄鉄鉱,3,芯石,10,鉱石,6,,
8P,飛槌 花鳥風月・肆,殴打,548,,0,0,,,,4,会心の達人 5%,,,1000,鋭利な鱗,3,天魔石,3,鉱石,5,,
9A,飛倉の彩槌,殴打,486,水,320,0,[獣道皆伝]好戦・攻 10%,,,4,[獣道]一気呵成・攻 18%,,,1000,角走の溢滴石,4,角走の被膜,1,芯石,15,大きな鉱石,2
9C,黒金の大鉄槌・弐,殴打,711,,0,0,衝撃波 40%,追い討ち 25%,,4,火の弱体術 15%,,,1000,砂鼓の狸袋,3,砂鼓の硬鉄塊,2,碧柱鉱,3,大きな鉱石,4
9E,夏椿の機槌,殴打,500,風,480,0,軽功転戦 15%,飛鳥の守護 15%,,4,からくり連携・癒 +3,,,1000,姫鶏冠の山冠,3,姫鶏冠の嘴,2,巨獣の花弁,4,鉱石,9
9G,幻日の閃刃,殴打,802,,0,5,毒使い 10%,糸好き +1,,4,水の弱体術 15%,,,2000,白纏の尖嘴,3,白纏の長尾羽,2,白纏の鋭爪,1,芯石,15
9H,紅梅の大槌,殴打,586,,0,0,回避の達人 15%,,,4,土の弱体術 15%,,,1000,花宿の硬牙,3,花宿の髭,2,巨獣の花弁,3,鉱石,6
9J,蔦葛の戦槌,殴打,496,樹,320,0,宿り木使い 10%,,,4,追い討ち 8%,,,1000,山穿槌の尖牙,2,山穿槌の莾棘,5,山穿槌の蹄,2,鉱石,7
9K,黒金の大鉄槌,殴打,680,,0,-10,衝撃波 40%,破壊術 40%,,4,風の弱体術 15%,,,1000,砂鼓の厚牙,3,砂鼓の硬鉄塊,2,砂鼓の腹皮,2,芯石,15
9M,猩々緋の獄槌,殴打,606,火,400,0,展開錬磨,炎上使い 10%,,4,奮起 9%,,,2000,地獄猿の灼岩石,4,地獄猿の長尻尾,1,地獄猿の荒髭,2,鉱石の塊,5
9O,たけやまの大槌,殴打,900,,,5,睡眠使い 10%,,,4,会心強化・攻 4%,,,2000,笠宿の硬牙,4,笠宿の肉厚柄,4,笠宿の髭,2,鉱石,10
9Q,磊槌 天岩戸,殴打,519,土,320,0,受身上手 25%,,,4,受け身術,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
