座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の棍,斬撃,96,,0,0,,,,2,,,,100,芯石,3,,,,,,
1I,変節棍,斬撃,60,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の棍・弐,斬撃,96,,0,0,,,,2,,,,100,芯石,3,,,,,,
3H,白樹の戦棍,斬撃,120,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の棍棒,斬撃,102,,0,0,,,,1,猛攻 +2,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の彩棍,斬撃,95,樹,144,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の乱れ棍,斬撃,104,水,96,5,会心強化・攻 8%,,,2,変幻の護り 16%,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の暴れ棒・弐,斬撃,216,,0,-10,余裕 4%,,,2,水の弱体術 5%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の戦棍・弐,斬撃,116,,0,0,奮起 10%,,,1,風の弱体術 5%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の彩棍,斬撃,108,風,96,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の戦棍,斬撃,122,樹,24,0,追い討ち 13%,,,1,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の彩棍・弐,斬撃,114,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
4K,彩金 石楠花,斬撃,125,火,96,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の暴れ棒,斬撃,193,,0,-10,早飲み 25%,,,1,渾身の守 13%,再利用 10%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊棍 震天動地,斬撃,134,土,96,0,受身上手 13%,,,2,土の弱体術 5%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,木子の機棍,斬撃,281,,0,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5C,雨氷の剛棍,斬撃,298,,,0,剛腕・糸 +6,,,3,受身上手 13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の彩棍・弐,斬撃,162,風,144,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,くさびらの彩棍,斬撃,156,樹,144,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5J,白樹の戦棍・参,斬撃,180,,0,0,仁王立ち 25%,,,2,樹の弱体術 5%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,彩棍 石楠花・弐,斬撃,180,火,144,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の暴れ棒・参,斬撃,222,,0,-10,滞空姿勢 25%,,,3,火の弱体術 5%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5Q,瑠璃通し,斬撃,284,,0,10,[獣道]一気呵成・攻 15%,,,3,会心連鎖 8%,,,600,屍荒の爪,2,屍荒の棘毛,3,屍荒の尻尾,3,芯石,6
6A,天狼棍,殴打,276,水,192,5,変幻の護り 30%,,,4,残心 +2,,,1000,羅雪の牙,2,羅雪の氷柱,4,羅雪の氷尾,2,芯石,12
6C,凍棍 真神突き,斬撃,286,,0,25,[活人]一気呵成・会心 20%,,,4,会心強化・攻 2%,,,1000,羅雪の爪,2,羅雪の氷柱,4,巨獣の光粉,1,芯石,12
6D,鋭石の棍・参,斬撃,210,,0,0,剛腕・糸 +6,,,4,,,,300,鏡石,1,芯石,10,,,,
6E,宵闇の牙棒,斬撃,226,,0,10,毒使い 5%,,,3,霞落とし 4%,,,600,黒纏の嘴,2,黒纏の毒岩肺,2,芯石,8,,
6G,十六夜の乱れ棍,斬撃,169,風,144,0,渾身の守 25%,,,3,死中の攻勢 10%,,,600,黒纏の皮,1,黒纏の爪,2,鉱石,2,,
6H,蔦若葉の戦棍・弐,斬撃,162,樹,144,0,剛腕・心 10%,,,3,機術の体幹 10%,,,300,山穿槌の毛,3,山穿槌の草棘,5,フクロウの飛骨,2,鉱石,5
