座標,名称,物理属性,攻撃力,属性,属性攻撃力,会心率,固有技能1,固有技能2,固有技能3,空枠数,継承技能1,継承技能2,継承技能3,必要金,必要素材1名称,必要素材1数,必要素材2名称,必要素材2数,必要素材3名称,必要素材3数,必要素材4名称,必要素材4数
1D,鋭石の傘,刺突,72,,0,0,,,,2,,,,100,芯石,3,,,,,,
1I,鉄傘,刺突,45,,0,0,,,,0,,,,100,芯石,1,,,,,,
1N,鋭石の傘・弐,刺突,72,,0,0,,,,2,,,,100,芯石,3,,,,,,
3H,白樹の唐傘,刺突,92,,0,0,早飲み 25%,,,2,,,,100,琥珀主の角,1,芯石,1,,,,
3I,初花の番傘,刺突,77,,0,0,,,,1,猛攻 +2,,,100,芯石,1,老樹の材木,1,,,,
3J,飛梅の鉄傘,刺突,78,,0,0,,,,1,会心の達人 3%,,,100,花宿の皮,1,,,,,,
4A,出水の手傘,刺突,79,水,72,5,会心強化・攻 8%,,,2,回し上手 20%,,,300,角走の頭角,1,珊瑚の欠片,5,芯石,4,,
4C,砂紋の波傘・弐,刺突,162,,0,-10,余裕 4%,,,1,水の弱体術 2%,巧手の妙・攻 4%,,300,砂鼓の爪,3,砂鼓の鉄塊,2,小獣の甲殻,3,芯石,10
4E,白樹の唐傘・弐,刺突,87,,0,0,奮起 10%,,,1,風の弱体術 2%,からくり連携・癒 +2,,100,琥珀主の葉髭,3,琥珀主の硬液,3,尖った鱗,2,芯石,10
4G,沙羅の彩傘,刺突,83,風,72,5,奇襲 60%,,,2,糸好き +1,,,300,姫鶏冠の皮,1,姫鶏冠の頭冠,1,芯石,4,,
4H,蔦若葉の彩傘,刺突,92,樹,20,0,追い討ち 13%,,,1,剛腕・心 4%,,,300,山穿槌の牙,1,山穿槌の皮,1,芯石,4,,
4J,飛梅の鉄傘・弐,刺突,86,,0,0,滞空姿勢 25%,,,1,会心の達人 3%,一笠一杖 8%,,100,花宿の牙,3,花宿の梅実,3,小晶鉱,2,芯石,3
4K,獄傘 石楠花,刺突,93,火,72,0,韋駄天  5%,,,2,ながら飲み 17%,,,300,地獄猿の牙,1,地獄猿の泥石,1,芯石,6,,
4M,砂紋の波傘・弐,刺突,144,,0,-10,早飲み 25%,,,1,連転の舞 8%,再利用 10%,,300,砂鼓の狸袋,1,砂鼓の鉄塊,1,青石,3,芯石,4
4O,磊傘 震天動地,刺突,100,土,72,0,受身上手 13%,,,2,土の弱体術 2%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
4Q,木子の鉄傘,刺突,210,,0,0,回避の達人 8%,,,2,奮起 6%,,,600,笠宿子の牙,2,笠宿子の爪,2,芯石,6,,
5A,雨氷の機傘,刺突,149,水,108,0,剛腕・糸 +6,,,3,受身上手13%,,,600,城穿槌の牙,3,城穿槌の氷樹,2,芯石,10,,
5G,沙羅の彩傘・弐,刺突,122,風,108,0,飛鳥の守護 8%,,,3,からくり連携・攻 4%,,,300,姫鶏冠の頭冠,5,姫鶏冠の爪,5,鏡石,4,鉱石,4
5H,くさびらの彩弓,刺突,115,樹,108,0,仁王立ち 25%,,,2,奇襲 40%,からくり連携・攻 4%,,600,笠宿子の牙,3,笠宿子の肉柄,2,芯石,6,,
5J,白樹の唐傘・参,刺突,135,,0,0,仁王立ち 25%,,,2,樹の弱体術 2%,,,100,琥珀主の葉髭,5,琥珀主の硬液,5,光石,2,芯石,10
5K,獄傘 石楠花・弐,刺突,135,火,108,0,掴み上手 7%,,,3,[獣道皆伝]虎穴の猛攻 5%,,,300,地獄猿の泥石,1,地獄猿の尻尾,1,子ザルの臓石,3,芯石,20
5M,砂紋の波傘・参,刺突,167,,0,-10,滞空姿勢 25%,,,3,火の弱体術 2%,,,300,砂鼓の爪,2,砂鼓の尻尾,2,鏡石,3,鉱石,4
5O,鬼薄の機傘,刺突,121,土,108,0,切り出し上手,,,3,軽功転戦 10%,,,600,屍荒の棘毛,2,屍荒の牙,3,屍荒の尻尾,3,芯石,6
6A,天狼傘,刺突,207,水,144,5,円熟の舞 25%,,,4,残心 +2,,,1000,羅雪の牙,2,羅雪の氷柱,4,羅雪の氷尾,2,芯石,12
6C,凍傘 真神流し,刺突,213,,0,25,[活人]一気呵成・会心 20%,,,4,会心強化・攻 2%,,,1000,羅雪の爪,2,羅雪の氷柱,4,巨獣の光粉,1,芯石,12
6D,鋭石の傘・参,刺突,158,,0,0,剛腕・糸 +6,,,4,,,,300,鏡石,1,芯石,10,,,,
6E,宵闇の雨傘,刺突,171,,0,10,毒使い 5%,,,3,霞落とし 4%,,,600,黒纏の嘴,2,黒纏の毒岩肺,2,芯石,8,,
6G,十六夜の彩傘,刺突,128,風,108,0,納め傘 25%,,,3,死中の攻勢 10%,,,600,黒纏の皮,1,黒纏の爪,2,鉱石,2,,
6H,蔦若葉の彩傘・弐,刺突,122,樹,108,0,剛腕・心 10%,,,3,機術の体幹 10%,,,300,山穿槌の毛,3,山穿槌の草棘,5,フクロウの飛骨,2,鉱石,5
6J,落氷回し,殴打,226,,0,5,[活人皆伝]剛腕・守 25%,,,3,[活人]蘇生ノ構,,,600,城穿槌の牙,3,城穿槌の尻尾,3,芯石,10,,
6K,埋れ火の獄傘,刺突,156,火,108,0,余裕 4%,,,3,受け流し強化・攻 6%,,,600,浄土猿の牙,2,浄土猿の皮,2,鉱石,10,,
6M,八島の雨傘,刺突,225,,0,-20,受け流しの達人 +4,,,2,破壊術 15%,,,300,鏡石,7,巨獣の玉石,1,芯石,8,鉱石,8
6N,鋭石の傘・肆,刺突,162,,0,0,剛腕・糸 +6,,,4,,,,300,光石,1,芯石,10,,,,
6O,獄傘 蒼仙花,刺突,151,土,108,0,奮起 10%,,,3,円熟の舞 20%,,,600,浄土猿の溶岩,3,浄土猿の尻尾,2,巨獣の煤炭,3,芯石,20
6Q,瑠璃流し,斬撃,212,,0,10,[獣道]一気呵成・攻 15%,,,3,会心連鎖 8%,,,600,屍荒の爪,2,屍荒の棘毛,3,屍荒の尻尾,3,芯石,6
8B,艶傘 花鳥風月,刺突,246,,0,5,,,,4,会心の達人 5%,,,1000,大きな鱗,5,小獣の甲皮,4,鉱石,5,,
8D,艶傘 花鳥風月・弐,刺突,243,,0,0,,,,5,,,,1000,碧柱鉱,3,芯石,10,鉱石,6,,
8F,薫風の番傘,刺突,248,,0,5,,,,4,会心強化・攻 4%,,,1000,カガチの浮き胞,2,珊瑚の欠片,5,芯石,10,,
8I,艶傘 雪月花,刺突,247,,0,5,,,,4,猛攻 +3,,,1000,天魔石,2,芯石,10,鉱石,6,,
8L,枯木の番傘,刺突,250,,0,5,,,,4,会心強化・攻 4%,,,1000,小獣の被膜,3,鋭利な鱗,3,芯石,10,,
8N,艶傘 花鳥風月・参,刺突,245,,0,0,,,,5,,,,1000,黄鉄鉱,3,芯石,10,鉱石,6,,
8P,艶傘 花鳥風月・肆,刺突,247,,0,0,,,,4,会心の達人 5%,,,1000,鋭利な鱗,3,天魔石,3,鉱石,5,,
9A,飛倉の手傘,刺突,226,水,144,0,円熟の舞 50%,見切りの極意 10%,,4,舞傘・攻 8%,,,1000,角走の溢滴石,4,角走の被膜,1,芯石,15,大きな鉱石,2
9C,黒金の波傘・弐,刺突,315,,0,0,軽功転戦 15%,,,4,火の弱体術 3%,,,1000,砂鼓の狸袋,3,砂鼓の硬鉄塊,2,碧柱鉱,3,大きな鉱石,4
9E,夏椿の彩傘,刺突,226,風,144,0,飛鳥の守護 15%,,,4,からくり連携・癒 +3,,,1000,姫鶏冠の山冠,3,姫鶏冠の嘴,2,巨獣の花弁,4,鉱石,9
9G,幻日の雨傘,刺突,359,,0,5,毒使い 10%,受身上手 25%,,4,水の弱体術 3%,,,2000,白纏の尖嘴,3,白纏の長尾羽,2,白纏の鋭爪,1,芯石,15
9H,紅梅の鉄傘,刺突,268,,0,0,回避の達人 15%,,,4,土の弱体術 3%,,,1000,花宿の硬牙,3,花宿の髭,2,巨獣の花弁,3,鉱石,6
9J,蔦葛の彩傘,刺突,227,樹,144,0,宿り木使い 10%,,,4,追い討ち 8%,,,1000,山穿槌の尖牙,2,山穿槌の莾棘,5,山穿槌の蹄,2,鉱石,7
9K,黒金の波傘,刺突,306,,0,-10,切り出し上手,,,4,風の弱体術 3%,,,1000,砂鼓の厚牙,3,砂鼓の硬鉄塊,2,砂鼓の腹皮,2,芯石,15
9M,猩々緋の獄傘,刺突,266,火,144,0,炎上使い 10%,,,4,余裕 3%,,,2000,地獄猿の灼岩石,4,地獄猿の長尻尾,1,地獄猿の荒髭,2,鉱石の塊,5
9O,嶺颪流し,斬撃,396,,0,10,天運 10%,,,4,樹の弱体術 3%,,,2000,屍荒の爪,4,屍荒の長尻尾,3,屍荒の棘皮,2,鉱石,10
9Q,晩鳥の機傘,刺突,226,土,144,0,剛腕・心 20%,糸好き +1,,4,韋駄天 4%,,,1000,角走の鋭角,2,角走の爪,2,巨獣の玉石,3,鉱石,8
10E,山茶花の彩傘,刺突,243,風,144,0,[活人]剛腕・癒 +100,,,4,[活人]一気呵成・会心 30%,,,2000,鬼鶏冠の咲冠,3,鬼鶏冠の鋭爪,4,巨獣の花弁,5,大きな鉱石,2
10G,八咫の牙弓,刺突,368,,0,5,天運 10%,,,4,連天の舞 11%,,,2000,白纏の長尾羽,2,白纏の宝珠,3,巨獣の玉石,5,大きな鉱石,5
10H,琥珀の唐傘,刺突,334,,0,0,舞傘・攻 20%,破壊術 40%,,4,受け流しの達人 +2,,,1000,琥珀主の叢髭,2,琥珀主の輝硬液,5,琥珀主の爪,2,大きな鉱石,2
10K,吾妻の雨傘,刺突,360,,0,-20,睡眠使い 10%,機術の体幹 12%,,4,機術の回収,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
10Q,磊傘 細石,刺突,232,土,144,0,受身上手 25%,,,4,受け身術,,,1000,巨獣の玉石,2,黄鉄鉱,4,芯石,15,大きな鉱石,4
11C,此岸の機傘,刺突,475,水,200,0,納刀術 50%,[獣道皆伝]好戦・攻 10%,,4,[獣道皆伝]鷹の目 5%,,,2000,彼岸走の花爪,2,彼岸走の毒石,3,彼岸走の飛膜,1,鉱石の塊,4
11E,金烏の彩傘,刺突,243,風,144,5,掴み上手 13%,,,4,会心連鎖 12%,,,2000,白纏の鋭翼,3,白纏の宝珠,3,芯石,15,,
